station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
Madhi,21.14166667,73.25416667,0.011,0.002,0.016,0.01,0.001,0.027,0.931,3.043,0.391,0.139,0.017,0.266,0.013,0.006,0.775,0.068,0.01
Maktupur1,21.14305556,70.09583333,0.017,0.002,0.021,0.006,0.002,0.018,1.387,1.662,0.406,0.053,0.031,0.37,0.017,0.004,0.934,0.045,0.01
Galodar,21.14722222,70.275,0.014,0.002,0.066,0.014,0.001,0.015,0.619,1.929,0.128,0.066,0.021,0.282,0.017,0.006,0.847,0.013,0.01
Manketara,21.15,70.12916667,0.009,0.005,0.045,0.018,0.001,0.027,1.378,1.478,0.367,0.179,0.015,0.246,0.013,0.005,0.684,0.06,0.01
Khamba,21.15,71.23888889,0.019,0.004,0.027,0.013,0.001,0.012,1.996,2.208,0.216,0.096,0.051,0.181,0.007,0.007,0.552,0.036,0.01
Chapawadi,21.15138889,73.39361111,0.017,0.002,0.079,0.01,0.001,0.011,1.985,2.759,0.18,0.102,0.038,0.102,0.012,0.002,0.968,0.055,0.01
Bagumda,21.15833333,72.98888889,0.014,0.005,0.017,0.019,0.002,0.011,1.746,2.971,0.232,0.153,0.017,0.212,0.007,0.004,0.686,0.014,0.01
Gandhinagar,21.16416667,73.69555556,0.006,0.005,0.072,0.016,0.002,0.025,1.254,1.315,0.377,0.192,0.021,0.351,0.02,0.005,0.676,0.068,0.01
Lohej,21.16666667,70.06666667,0.009,0.002,0.054,0.017,0.002,0.016,1.301,1.836,0.367,0.126,0.068,0.235,0.008,0.002,0.658,0.059,0.01
Juthal,21.16666667,70.26666667,0.008,0.003,0.02,0.014,0.001,0.027,0.849,2.74,0.491,0.1,0.043,0.262,0.014,0.007,0.671,0.019,0.01
Mota,21.17027778,73.06861111,0.006,0.005,0.075,0.007,0.001,0.029,1.068,3.074,0.216,0.055,0.039,0.295,0.009,0.005,0.954,0.045,0.01
Jesingpura[sg],21.17083333,73.55416667,0.017,0.003,0.043,0.016,0.002,0.025,0.55,2.475,0.181,0.164,0.026,0.265,0.006,0.002,0.751,0.068,0.01
Uchchhal,21.17194444,73.76916667,0.015,0.005,0.053,0.017,0.001,0.02,1.788,3.992,0.195,0.158,0.049,0.369,0.011,0.004,0.759,0.063,0.01
Goraj,21.18333333,70.15416667,0.012,0.001,0.018,0.01,0.001,0.028,0.749,1.504,0.498,0.127,0.058,0.213,0.013,0.005,0.601,0.049,0.01
Goraj1,21.18333333,70.15416667,0.019,0.004,0.04,0.009,0.002,0.011,1.231,4.924,0.332,0.147,0.061,0.393,0.014,0.004,0.714,0.021,0.01
Sil,21.18555556,70.04638889,0.016,0.004,0.056,0.007,0.001,0.018,1.409,1.889,0.13,0.126,0.044,0.134,0.012,0.005,0.519,0.043,0.01
Bora,21.19111111,71.92888889,0.013,0.002,0.057,0.018,0.002,0.022,0.504,3.513,0.447,0.127,0.029,0.353,0.007,0.003,0.598,0.055,0.01
Motivadal,21.19722222,71.55,0.014,0.003,0.062,0.005,0.001,0.012,1.339,3.893,0.173,0.122,0.012,0.155,0.009,0.005,0.9,0.023,0.01
Motichher,21.2125,73.36222222,0.007,0.002,0.057,0.013,0.001,0.018,1.898,2.284,0.13,0.092,0.039,0.32,0.02,0.004,0.807,0.033,0.01
Longadi,21.21388889,71.88333333,0.019,0.005,0.011,0.011,0.001,0.011,1.827,3.692,0.142,0.185,0.044,0.105,0.015,0.001,0.587,0.013,0.01
Bamanwara,21.22083333,70.05555556,0.012,0.001,0.042,0.018,0.001,0.023,0.819,4.349,0.298,0.066,0.03,0.166,0.011,0.002,0.57,0.035,0.01
Datha,21.22083333,71.95,0.018,0.003,0.036,0.018,0.002,0.028,1.889,4.005,0.34,0.145,0.021,0.235,0.016,0.005,0.922,0.042,0.01
Kadod,21.22083333,73.225,0.02,0.002,0.04,0.012,0.001,0.015,1.547,3.468,0.136,0.057,0.013,0.126,0.016,0.003,0.553,0.07,0.01
Kadod 1,21.22138889,73.21888889,0.006,0.003,0.026,0.015,0.001,0.03,0.636,4.419,0.44,0.122,0.062,0.334,0.007,0.002,0.598,0.017,0.01
Sil bandar,21.22361111,70.05555556,0.007,0.005,0.062,0.008,0.001,0.03,0.629,1.158,0.319,0.073,0.032,0.344,0.005,0.002,0.774,0.034,0.01
Bhatsimroli,21.22361111,70.18333333,0.014,0.003,0.057,0.005,0.001,0.016,1.179,4.829,0.169,0.09,0.056,0.14,0.012,0.002,0.982,0.035,0.01
Goradka,21.225,71.41111111,0.013,0.003,0.012,0.006,0.001,0.011,1.945,2.179,0.375,0.111,0.049,0.11,0.012,0.005,0.958,0.047,0.01
Bhurvel (ukai),21.225,73.57916667,0.009,0.002,0.055,0.013,0.001,0.017,0.962,2.772,0.458,0.135,0.042,0.376,0.019,0.004,0.951,0.016,0.01
Saroli,21.229583,72.790778,0.013,0.004,0.076,0.015,0.002,0.019,0.652,2.525,0.143,0.077,0.03,0.197,0.007,0.002,0.959,0.03,0.01
Alwani,21.23055556,70.6375,0.018,0.001,0.031,0.008,0.002,0.018,1.566,2.083,0.345,0.157,0.025,0.213,0.008,0.007,0.871,0.045,0.01
Ingorala,21.23333333,71.2,0.013,0.004,0.078,0.01,0.002,0.014,1.031,4.61,0.268,0.131,0.027,0.148,0.006,0.004,0.974,0.063,0.01
Vankiya1,21.23333333,71.25,0.008,0.003,0.072,0.02,0.001,0.019,1.636,2.71,0.146,0.163,0.028,0.142,0.014,0.007,0.582,0.06,0.01
Antroli,21.23611111,70.00694444,0.018,0.004,0.056,0.007,0.002,0.028,1.766,2.114,0.166,0.12,0.025,0.304,0.006,0.006,0.589,0.015,0.01
Jira,21.2375,71.09166667,0.018,0.004,0.016,0.015,0.001,0.012,1.928,4.097,0.284,0.197,0.034,0.212,0.018,0.005,0.859,0.014,0.01
Shantinagar,21.24583333,71.65,0.008,0.005,0.032,0.006,0.002,0.024,1.082,2.748,0.184,0.125,0.047,0.278,0.012,0.001,0.845,0.068,0.01
Digas,21.24833333,73.02555556,0.007,0.002,0.07,0.015,0.001,0.028,1.946,1.048,0.424,0.091,0.055,0.127,0.015,0.005,0.951,0.031,0.01
Kalej,21.24861111,70.05833333,0.017,0.002,0.074,0.005,0.002,0.025,0.904,1.65,0.147,0.069,0.045,0.116,0.007,0.002,0.778,0.065,0.01
Vadade-Khurd,21.25166667,73.81694444,0.02,0.001,0.034,0.02,0.001,0.023,1.259,1.781,0.157,0.146,0.021,0.19,0.007,0.005,0.56,0.018,0.01
Virpur,21.25416667,71.15,0.012,0.003,0.036,0.016,0.001,0.024,1.377,1.63,0.202,0.112,0.016,0.239,0.015,0.007,0.761,0.061,0.01
Badhda,21.26583333,71.33888889,0.02,0.005,0.054,0.019,0.002,0.017,1.004,4.215,0.289,0.195,0.029,0.136,0.01,0.002,0.627,0.041,0.01
Kewarda,21.26666667,70.20833333,0.008,0.004,0.079,0.019,0.001,0.012,0.762,4.85,0.294,0.177,0.037,0.178,0.012,0.004,0.888,0.031,0.01
Kasia Naka Check Post,21.27027778,70.68055556,0.014,0.002,0.016,0.009,0.002,0.011,0.686,4.06,0.102,0.106,0.063,0.385,0.007,0.002,0.976,0.02,0.01
Khedwada (Ashram Falia),21.28111111,73.46527778,0.01,0.001,0.071,0.011,0.001,0.016,0.51,3.82,0.34,0.196,0.023,0.393,0.008,0.002,0.591,0.025,0.01
Pasvi,21.29166667,71.96666667,0.008,0.003,0.078,0.008,0.001,0.014,0.721,1.493,0.206,0.14,0.021,0.111,0.005,0.003,0.968,0.036,0.01
Kathor,21.29166667,72.92916667,0.007,0.004,0.069,0.015,0.001,0.025,1.78,3.765,0.198,0.075,0.044,0.371,0.014,0.002,0.912,0.02,0.01
Pata,21.29722222,69.94166667,0.017,0.004,0.078,0.016,0.002,0.013,0.652,3.486,0.122,0.168,0.012,0.17,0.007,0.002,0.858,0.02,0.01
Prempara,21.3,70.7,0.015,0.003,0.053,0.008,0.001,0.018,1.502,3.432,0.377,0.168,0.061,0.35,0.01,0.003,0.585,0.067,0.01
Sayan,21.30555556,72.91083333,0.006,0.002,0.019,0.017,0.002,0.016,1.542,2.553,0.282,0.081,0.045,0.129,0.01,0.005,0.661,0.032,0.01
Tokarwa 1,21.31,73.85111111,0.006,0.005,0.042,0.017,0.002,0.017,1.186,1.981,0.227,0.13,0.048,0.396,0.013,0.005,0.535,0.065,0.01
Navi pardi,21.32222222,72.97083333,0.012,0.004,0.034,0.015,0.001,0.024,0.647,4.525,0.294,0.158,0.024,0.112,0.013,0.001,0.617,0.02,0.01
Mendarda1,21.325,70.43333333,0.006,0.003,0.037,0.02,0.002,0.024,1.52,1.582,0.491,0.057,0.02,0.319,0.006,0.006,0.741,0.021,0.01
Dharangani,21.33333333,71.2,0.007,0.001,0.035,0.011,0.002,0.011,1.433,2.664,0.215,0.062,0.026,0.373,0.013,0.002,0.838,0.051,0.01
Dhari,21.3375,71.04166667,0.019,0.001,0.048,0.018,0.001,0.019,0.799,4.647,0.127,0.097,0.016,0.145,0.016,0.002,0.726,0.017,0.01
Olpad2,21.34166667,72.75833333,0.006,0.004,0.017,0.009,0.001,0.026,1.476,4.18,0.125,0.185,0.056,0.332,0.015,0.002,0.956,0.017,0.01
Mocha,21.34833333,69.88916667,0.018,0.001,0.017,0.008,0.001,0.029,1.625,4.436,0.274,0.101,0.032,0.201,0.011,0.004,0.735,0.037,0.01
Mandawad,21.35833333,70.74583333,0.011,0.001,0.011,0.007,0.002,0.019,0.707,3.329,0.32,0.148,0.06,0.185,0.015,0.002,0.871,0.021,0.01
Talaja2,21.36666667,72.01666667,0.005,0.004,0.036,0.012,0.001,0.011,1.996,1.859,0.426,0.171,0.022,0.182,0.018,0.002,0.857,0.061,0.01
Balej,21.37083333,69.875,0.006,0.002,0.011,0.008,0.001,0.018,1.46,1.662,0.161,0.056,0.022,0.285,0.013,0.003,0.857,0.02,0.01
Khoras ahir,21.37083333,70.33888889,0.013,0.004,0.036,0.016,0.002,0.019,1.274,4.347,0.336,0.081,0.042,0.366,0.012,0.006,0.938,0.03,0.01
Morjhar,21.37611111,71.11861111,0.006,0.003,0.036,0.009,0.001,0.024,1.989,2.998,0.335,0.141,0.019,0.239,0.01,0.006,0.817,0.013,0.01
Tawali,21.37611111,73.90166667,0.016,0.004,0.035,0.02,0.002,0.025,1.144,4.154,0.307,0.175,0.038,0.1,0.013,0.003,0.883,0.034,0.01
Hipavadli,21.37888889,71.61472222,0.018,0.002,0.048,0.011,0.002,0.019,0.814,2.09,0.172,0.071,0.033,0.363,0.006,0.005,0.776,0.045,0.01
Kundheli,21.37944444,71.98055556,0.008,0.001,0.051,0.006,0.001,0.026,1.641,1.115,0.234,0.123,0.027,0.157,0.013,0.006,0.717,0.032,0.01
Bhatkol,21.38027778,73.00416667,0.009,0.001,0.073,0.013,0.001,0.01,0.631,4.153,0.356,0.189,0.045,0.399,0.019,0.005,0.815,0.053,0.01
Piyava,21.38333333,71.46666667,0.012,0.005,0.066,0.006,0.002,0.013,1.081,2.348,0.382,0.152,0.056,0.193,0.019,0.002,0.52,0.043,0.01
Salena,21.38611111,71.53333333,0.013,0.004,0.079,0.016,0.002,0.018,1.169,4.621,0.465,0.059,0.059,0.143,0.007,0.002,0.643,0.01,0.01
Vanda,21.38972222,71.5075,0.006,0.001,0.03,0.012,0.001,0.029,1.601,1.216,0.47,0.062,0.056,0.313,0.019,0.005,0.945,0.021,0.01
Charkhadia1,21.39166667,71.29583333,0.009,0.003,0.075,0.008,0.001,0.016,1.454,3.973,0.227,0.053,0.047,0.208,0.017,0.004,0.676,0.044,0.01
Kerala,21.39722222,71.21666667,0.011,0.002,0.073,0.017,0.001,0.028,1.489,3.881,0.341,0.175,0.043,0.124,0.007,0.004,0.578,0.026,0.01
Anita,21.39944444,72.85583333,0.006,0.004,0.066,0.018,0.001,0.011,1.151,3.672,0.397,0.094,0.022,0.181,0.012,0.005,0.84,0.014,0.01
Dungri,21.40833333,73.13333333,0.007,0.004,0.065,0.009,0.001,0.029,1.553,3.233,0.175,0.195,0.061,0.323,0.01,0.003,0.932,0.044,0.01
Anandpur,21.41027778,70.51805556,0.017,0.003,0.023,0.017,0.001,0.012,1.054,1.447,0.347,0.156,0.053,0.216,0.02,0.005,0.9,0.044,0.01
Chalala,21.41666667,71.16666667,0.018,0.004,0.061,0.019,0.001,0.014,1.366,4.858,0.15,0.078,0.011,0.328,0.011,0.006,0.694,0.035,0.01
Kherwa,21.41888889,73.95972222,0.016,0.003,0.058,0.019,0.001,0.017,1.299,2.215,0.123,0.166,0.053,0.279,0.012,0.002,0.752,0.015,0.01
Khokharda,21.42083333,70.31666667,0.02,0.005,0.063,0.016,0.002,0.021,1.425,3.042,0.458,0.101,0.044,0.32,0.011,0.006,0.597,0.026,0.01
Sajnasar,21.425,71.9125,0.012,0.004,0.034,0.011,0.001,0.017,1.201,1.945,0.266,0.067,0.059,0.381,0.02,0.006,0.585,0.03,0.01
Trapaj,21.425,72.09583333,0.016,0.004,0.065,0.017,0.001,0.027,0.808,3.656,0.267,0.094,0.047,0.277,0.016,0.004,0.696,0.053,0.01
Wadoli,21.425,72.82916667,0.009,0.001,0.02,0.013,0.002,0.019,1.178,1.525,0.279,0.17,0.014,0.213,0.012,0.006,0.823,0.064,0.01
Bhuva,21.43277778,71.36388889,0.01,0.001,0.015,0.011,0.002,0.027,1.53,2.939,0.259,0.138,0.069,0.148,0.011,0.002,0.811,0.04,0.01
Fifad,21.43611111,71.54027778,0.014,0.002,0.064,0.013,0.002,0.025,0.784,2.524,0.207,0.054,0.064,0.389,0.017,0.002,0.627,0.024,0.01
Simiran,21.4375,71.29166667,0.017,0.004,0.05,0.018,0.001,0.022,0.915,3.924,0.125,0.055,0.067,0.359,0.013,0.007,0.895,0.069,0.01
Ratia,21.43805556,69.80611111,0.016,0.003,0.063,0.01,0.001,0.017,0.62,3.767,0.337,0.103,0.05,0.313,0.009,0.004,0.589,0.022,0.01
Bilkha,21.43888889,70.6,0.015,0.004,0.033,0.015,0.001,0.018,0.51,4.742,0.264,0.182,0.04,0.396,0.005,0.005,0.886,0.032,0.01
Satanes,21.44166667,71.8375,0.007,0.003,0.022,0.012,0.001,0.026,0.847,3.959,0.154,0.13,0.055,0.172,0.011,0.003,0.55,0.03,0.01
Velachha,21.44416667,73.04861111,0.005,0.005,0.011,0.011,0.002,0.017,1.135,2.233,0.438,0.167,0.048,0.178,0.017,0.003,0.686,0.056,0.01
Navibandar,21.44583333,69.79166667,0.017,0.004,0.035,0.017,0.001,0.027,1.265,3.366,0.122,0.135,0.032,0.232,0.008,0.001,0.843,0.062,0.01
Ilav,21.45,72.8,0.012,0.003,0.015,0.008,0.002,0.027,0.866,3.637,0.199,0.127,0.02,0.157,0.016,0.002,0.777,0.011,0.01
Jhankhavav,21.45,73.32916667,0.006,0.001,0.035,0.011,0.002,0.022,1.238,2.172,0.35,0.179,0.014,0.324,0.007,0.006,0.864,0.027,0.01
Kadegi,21.45055556,69.98333333,0.015,0.003,0.015,0.011,0.001,0.014,1.826,2.732,0.122,0.159,0.023,0.131,0.01,0.005,0.564,0.062,0.01
Paneshwar,21.45416667,73.19833333,0.007,0.004,0.069,0.005,0.001,0.013,0.65,1.549,0.277,0.142,0.022,0.231,0.01,0.001,0.787,0.022,0.01
Juna umarpada,21.45833333,73.49166667,0.012,0.004,0.013,0.018,0.002,0.017,1.442,1.153,0.15,0.095,0.023,0.155,0.016,0.005,0.799,0.055,0.01
Vanthali ii,21.47083333,70.32777778,0.007,0.004,0.076,0.008,0.001,0.017,1.668,1.433,0.27,0.057,0.021,0.104,0.017,0.005,0.905,0.044,0.01
Sahol,21.47277778,72.80972222,0.006,0.001,0.01,0.01,0.001,0.013,1.023,4.528,0.291,0.13,0.052,0.168,0.01,0.006,0.781,0.027,0.01
Chavada,21.47472222,73.595,0.007,0.002,0.019,0.016,0.002,0.019,0.897,3.834,0.159,0.06,0.052,0.393,0.014,0.006,0.988,0.034,0.01
Vadal,21.47694444,71.80611111,0.01,0.004,0.073,0.006,0.002,0.023,1.57,2.697,0.465,0.139,0.021,0.354,0.007,0.006,0.621,0.026,0.01
Nizar1,21.47722222,74.19055556,0.007,0.004,0.046,0.018,0.002,0.011,0.957,4.974,0.295,0.113,0.064,0.295,0.013,0.001,0.697,0.048,0.01
Bagasara,21.47916667,70.9625,0.017,0.002,0.018,0.018,0.002,0.028,0.779,4.438,0.306,0.08,0.015,0.375,0.012,0.005,0.773,0.07,0.01
Bantva,21.4875,70.08333333,0.019,0.002,0.031,0.019,0.001,0.013,0.914,2.402,0.171,0.106,0.014,0.262,0.009,0.001,0.575,0.066,0.01
Aarda Boratha,21.4875,74.115,0.008,0.003,0.063,0.014,0.001,0.017,0.55,2.927,0.207,0.154,0.033,0.174,0.017,0.005,0.911,0.049,0.01
Umran,21.48805556,73.88305556,0.007,0.004,0.065,0.009,0.001,0.024,1.095,2.726,0.104,0.163,0.066,0.284,0.017,0.003,0.605,0.013,0.01
Jetpur1,21.49166667,72.70833333,0.012,0.002,0.017,0.009,0.001,0.014,1.765,3.242,0.265,0.087,0.029,0.289,0.018,0.004,0.893,0.058,0.01
Jankh,21.49222222,73.59694444,0.015,0.001,0.075,0.015,0.001,0.013,1.794,4.802,0.127,0.164,0.027,0.387,0.01,0.001,0.708,0.032,0.01
Gokharwala,21.5,71.25833333,0.015,0.004,0.029,0.01,0.002,0.021,0.86,1.332,0.374,0.154,0.065,0.346,0.008,0.005,0.638,0.067,0.01
Tansa,21.50833333,72.125,0.01,0.003,0.048,0.01,0.001,0.024,1.794,4.195,0.374,0.142,0.02,0.385,0.009,0.003,0.556,0.047,0.01
Junagadh,21.50944444,70.46222222,0.011,0.003,0.025,0.007,0.001,0.018,0.846,3.64,0.24,0.191,0.052,0.32,0.008,0.006,0.89,0.021,0.01
Khaidipada,21.51388889,73.51944444,0.012,0.001,0.046,0.009,0.002,0.029,0.75,3.888,0.266,0.152,0.068,0.28,0.009,0.006,0.644,0.065,0.01
Tukda,21.51611111,69.72861111,0.016,0.001,0.048,0.006,0.002,0.012,0.622,4.01,0.157,0.17,0.024,0.156,0.013,0.004,0.614,0.052,0.01
Junagadh1,21.51666667,70.45833333,0.005,0.004,0.058,0.005,0.001,0.03,0.638,3.392,0.308,0.199,0.01,0.394,0.015,0.003,0.557,0.018,0.01
Vankiya,21.52083333,71.13611111,0.007,0.005,0.069,0.012,0.001,0.016,0.788,3.833,0.279,0.072,0.019,0.335,0.011,0.005,0.563,0.061,0.01
Raymal,21.52083333,72.82083333,0.017,0.003,0.07,0.016,0.001,0.022,0.988,4.985,0.407,0.122,0.027,0.274,0.011,0.004,0.685,0.031,0.01
Chikada,21.52083333,73.64583333,0.014,0.004,0.034,0.007,0.001,0.028,1.325,3.511,0.462,0.073,0.054,0.382,0.009,0.003,0.701,0.016,0.01
Kanbi pitha,21.52083333,73.64583333,0.018,0.002,0.048,0.017,0.001,0.028,1.823,1.117,0.243,0.145,0.058,0.211,0.015,0.006,0.891,0.015,0.01
Palitana2,21.52222222,71.83888889,0.009,0.001,0.046,0.01,0.002,0.019,0.536,1.499,0.304,0.156,0.019,0.252,0.016,0.007,0.76,0.011,0.01
Punjapadar,21.525,71.35833333,0.007,0.004,0.037,0.019,0.001,0.029,1.738,2.119,0.111,0.155,0.024,0.25,0.008,0.004,0.814,0.021,0.01
Gangtha,21.525,74,0.011,0.003,0.029,0.007,0.001,0.025,1.879,1.059,0.48,0.112,0.037,0.133,0.008,0.001,0.509,0.062,0.01
Kavachiya,21.52916667,73.35416667,0.015,0.001,0.02,0.019,0.001,0.015,1.418,1.822,0.32,0.075,0.016,0.376,0.013,0.006,0.644,0.016,0.01
Mokhdi,21.53333333,73.2875,0.018,0.002,0.079,0.015,0.001,0.014,1.625,4.032,0.249,0.102,0.05,0.39,0.005,0.003,0.807,0.023,0.01
Panoli,21.5375,72.975,0.007,0.004,0.014,0.018,0.001,0.014,0.938,3.784,0.28,0.138,0.015,0.372,0.007,0.007,0.649,0.057,0.01
Paniwara,21.53944444,74.06944444,0.018,0.003,0.037,0.006,0.001,0.028,0.957,4.257,0.396,0.137,0.064,0.23,0.005,0.005,0.895,0.061,0.01
Govadka,21.54166667,71.15833333,0.014,0.003,0.05,0.017,0.002,0.023,1.615,2.604,0.228,0.087,0.055,0.312,0.019,0.005,0.614,0.03,0.01
Gariyadhar,21.54305556,71.56527778,0.009,0.002,0.07,0.015,0.001,0.024,1.229,1.43,0.386,0.184,0.012,0.143,0.017,0.005,0.619,0.019,0.01
Amayar,21.54722222,73.76666667,0.007,0.005,0.042,0.005,0.002,0.03,1.665,2.17,0.437,0.174,0.058,0.227,0.005,0.003,0.739,0.012,0.01
Panchpipla,21.55,71.72083333,0.008,0.005,0.022,0.011,0.001,0.015,0.769,2.88,0.414,0.067,0.042,0.185,0.014,0.007,0.71,0.01,0.01
Chuli,21.55472222,73.47555556,0.018,0.003,0.05,0.019,0.001,0.025,1.487,1.623,0.467,0.083,0.065,0.166,0.008,0.003,0.594,0.068,0.01
Motwan,21.55555556,72.8875,0.015,0.003,0.048,0.017,0.001,0.023,1.989,1.722,0.216,0.128,0.06,0.117,0.006,0.004,0.91,0.069,0.01
Sanaria,21.55777778,71.46805556,0.019,0.001,0.018,0.013,0.001,0.013,1.109,3.029,0.195,0.131,0.067,0.281,0.011,0.006,0.978,0.064,0.01
Oddar,21.56666667,69.68055556,0.017,0.002,0.054,0.012,0.001,0.025,0.893,2.128,0.204,0.18,0.01,0.114,0.011,0.005,0.561,0.02,0.01
Vavdi,21.56805556,72.19805556,0.017,0.003,0.059,0.01,0.002,0.027,1.99,4.975,0.273,0.144,0.018,0.138,0.016,0.002,0.894,0.055,0.01
Kondh,21.58055556,73.06805556,0.015,0.002,0.054,0.008,0.001,0.012,1.13,1.807,0.167,0.156,0.069,0.356,0.016,0.004,0.649,0.036,0.01
Vaghania juna,21.58333333,70.96666667,0.011,0.001,0.06,0.019,0.002,0.023,1.788,1.073,0.284,0.073,0.031,0.333,0.011,0.006,0.855,0.015,0.01
Saradiya,21.58861111,70.0375,0.019,0.003,0.011,0.014,0.001,0.02,1.295,1.239,0.239,0.196,0.039,0.214,0.007,0.006,0.99,0.019,0.01
Utraj,21.59166667,72.825,0.008,0.001,0.069,0.013,0.001,0.022,1.005,2.567,0.338,0.123,0.067,0.139,0.018,0.002,0.65,0.023,0.01
Jokhla,21.59583333,73.16916667,0.018,0.002,0.02,0.015,0.001,0.026,0.962,3.366,0.245,0.051,0.048,0.195,0.01,0.002,0.662,0.034,0.01
Ratanpur,21.60111111,69.65777778,0.012,0.003,0.035,0.019,0.001,0.029,1.316,4.507,0.262,0.088,0.066,0.294,0.007,0.001,0.826,0.033,0.01
Chokli,21.60194444,70.54166667,0.014,0.002,0.047,0.013,0.001,0.021,0.88,3.068,0.177,0.08,0.02,0.201,0.012,0.006,0.695,0.044,0.01
Patla,21.60416667,70.56916667,0.016,0.002,0.016,0.013,0.002,0.028,1.549,3.337,0.323,0.142,0.061,0.103,0.017,0.004,0.991,0.035,0.01
Amreli,21.60833333,71.225,0.006,0.001,0.067,0.018,0.002,0.02,1.733,4.159,0.37,0.113,0.055,0.108,0.017,0.003,0.723,0.02,0.01
Selemba,21.60833333,73.75833333,0.013,0.002,0.07,0.006,0.001,0.028,0.823,4.908,0.227,0.101,0.025,0.381,0.011,0.002,0.869,0.055,0.01
Vadal,21.60888889,70.50222222,0.013,0.001,0.076,0.014,0.001,0.017,1.648,4.227,0.267,0.062,0.041,0.211,0.011,0.002,0.559,0.024,0.01
Almadi,21.60888889,73.51083333,0.014,0.005,0.021,0.016,0.001,0.014,0.973,4.264,0.467,0.195,0.016,0.101,0.006,0.005,0.974,0.05,0.01
Ralda,21.61,73.6525,0.016,0.004,0.068,0.015,0.001,0.012,0.63,4.066,0.374,0.183,0.064,0.282,0.01,0.002,0.823,0.025,0.01
Arethi,21.6125,73.43527778,0.012,0.004,0.064,0.008,0.002,0.014,1.656,3.152,0.289,0.071,0.063,0.213,0.006,0.005,0.754,0.022,0.01
Sajod,21.61666667,72.92361111,0.015,0.003,0.048,0.017,0.001,0.02,1.571,3.563,0.346,0.105,0.036,0.314,0.016,0.004,0.987,0.016,0.01
Luvariya,21.625,71.39583333,0.016,0.003,0.052,0.006,0.001,0.02,0.642,1.147,0.471,0.08,0.011,0.125,0.01,0.003,0.911,0.057,0.01
Kutiyana1,21.63055556,70.01666667,0.008,0.002,0.047,0.012,0.002,0.027,1.271,1.71,0.479,0.059,0.027,0.249,0.013,0.004,0.881,0.041,0.01
Ishwaria,21.63333333,71.26666667,0.007,0.003,0.067,0.02,0.001,0.012,1.818,3.148,0.338,0.183,0.045,0.391,0.015,0.003,0.656,0.043,0.01
Modoliya,21.63333333,73.29583333,0.016,0.002,0.077,0.005,0.001,0.019,0.654,3.258,0.297,0.172,0.054,0.387,0.018,0.001,0.748,0.027,0.01
Netrang1,21.63333333,73.36666667,0.01,0.005,0.079,0.014,0.001,0.012,0.56,2.559,0.22,0.085,0.021,0.25,0.009,0.002,0.73,0.049,0.01
Dediapada,21.63333333,73.58333333,0.009,0.003,0.058,0.008,0.002,0.01,0.798,3.947,0.404,0.112,0.028,0.146,0.009,0.004,0.877,0.022,0.01
Piparla,21.63638889,71.91888889,0.006,0.002,0.026,0.018,0.002,0.022,1.671,4.754,0.105,0.053,0.068,0.325,0.015,0.004,0.727,0.029,0.01
Khijadiya,21.6375,71.7,0.02,0.003,0.075,0.011,0.002,0.026,0.556,4.595,0.28,0.151,0.044,0.109,0.011,0.006,0.564,0.054,0.01
Porbandar1,21.64166667,69.625,0.015,0.004,0.01,0.007,0.002,0.016,0.729,3.196,0.261,0.089,0.037,0.34,0.014,0.006,0.595,0.061,0.01
Patanvav,21.64444444,70.26111111,0.006,0.005,0.062,0.013,0.001,0.015,1.795,2.997,0.268,0.06,0.025,0.101,0.01,0.003,0.663,0.052,0.01
Porbandar,21.645,69.6425,0.015,0.005,0.013,0.015,0.001,0.029,1.164,3.141,0.3,0.086,0.029,0.128,0.006,0.003,0.57,0.027,0.01
Ankadia mota,21.64583333,71.10833333,0.014,0.002,0.013,0.013,0.001,0.014,1.534,3.869,0.112,0.117,0.013,0.27,0.017,0.005,0.895,0.056,0.01
Kandorna,21.64777778,69.88333333,0.014,0.002,0.047,0.02,0.001,0.018,1.893,4.914,0.172,0.086,0.014,0.279,0.02,0.002,0.718,0.058,0.01
Bhod,21.65888889,69.82111111,0.011,0.001,0.015,0.005,0.001,0.021,1.4,2.207,0.442,0.145,0.011,0.196,0.018,0.004,0.682,0.065,0.01
Bhada jodiya,21.6625,70.34166667,0.017,0.003,0.071,0.01,0.002,0.021,1.272,4.16,0.489,0.09,0.048,0.104,0.006,0.007,0.975,0.018,0.01
Kunkavav,21.6625,70.98333333,0.013,0.002,0.028,0.011,0.002,0.029,0.69,1.593,0.164,0.138,0.051,0.19,0.011,0.003,0.828,0.057,0.01
Nani singlot,21.66944444,73.66666667,0.007,0.003,0.05,0.014,0.002,0.012,1.306,1.073,0.399,0.072,0.031,0.308,0.013,0.003,0.608,0.039,0.01
Ganod,21.675,70.17916667,0.016,0.003,0.032,0.018,0.001,0.018,1.738,2.708,0.266,0.068,0.016,0.238,0.016,0.005,0.734,0.018,0.01
Luhara,21.675,72.55833333,0.013,0.003,0.06,0.005,0.001,0.017,0.996,1.66,0.193,0.086,0.064,0.369,0.016,0.003,0.7,0.015,0.01
Juna borbhata,21.675,72.975,0.015,0.003,0.064,0.02,0.001,0.024,1.409,1.765,0.109,0.159,0.036,0.387,0.011,0.007,0.583,0.057,0.01
